student_id,name,cpi,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,pref_10,pref_11,pref_12,pref_13,pref_14,pref_15,pref_16,pref_17,pref_18,pref_19,pref_20,pref_21,pref_22,pref_23,pref_24,pref_25,pref_26,pref_27,pref_28,pref_29,pref_30,pref_31
29,student29,9.47,F01,F14,F02,F18,F19,F26,F11,F24,F09,F29,F22,F13,F08,F07,F05,F04,F10,F27,F15,F12,F06,F23,F20,F28,F25,F21,F17,F03,F30,F31,F16
30,student30,6.51,F03,F11,F08,F19,F05,F26,F04,F27,F07,F10,F02,F09,F13,F28,F31,F24,F14,F22,F01,F18,F21,F17,F06,F30,F25,F16,F12,F23,F15,F29,F20
31,student31,9.66,F26,F11,F14,F22,F01,F03,F09,F19,F17,F04,F05,F07,F10,F08,F13,F27,F16,F30,F02,F23,F15,F28,F24,F20,F18,F06,F12,F29,F25,F21,F31
32,student32,7.85,F11,F26,F01,F14,F09,F18,F07,F02,F13,F04,F22,F08,F31,F30,F03,F17,F21,F25,F15,F10,F27,F24,F19,F12,F16,F29,F28,F23,F20,F06,F05
33,student33,6.45,F19,F06,F05,F22,F07,F12,F10,F14,F28,F23,F04,F29,F15,F13,F16,F09,F08,F02,F24,F27,F11,F01,F18,F26,F25,F21,F17,F03,F30,F31,F20
34,student34,7.43,F06,F22,F12,F10,F04,F05,F07,F29,F28,F15,F26,F13,F08,F16,F23,F01,F19,F09,F11,F14,F20,F27,F24,F02,F25,F21,F17,F31,F03,F18,F30
35,student35,7.36,F09,F11,F01,F26,F16,F05,F04,F08,F28,F14,F19,F13,F10,F07,F02,F22,F27,F24,F29,F18,F23,F30,F03,F15,F31,F21,F25,F12,F06,F17,F20
36,student36,9.01,F07,F13,F04,F08,F22,F05,F10,F19,F01,F11,F27,F24,F02,F09,F16,F14,F28,F20,F06,F12,F15,F23,F26,F25,F21,F17,F31,F03,F30,F29,F18
37,student37,8.76,F10,F03,F08,F07,F22,F19,F20,F02,F04,F05,F27,F16,F06,F15,F12,F28,F23,F09,F11,F14,F24,F29,F18,F26,F01,F21,F30,F13,F17,F31,F25
38,student38,7.82,F04,F13,F07,F10,F08,F05,F22,F14,F09,F19,F27,F02,F11,F01,F16,F28,F15,F23,F12,F06,F20,F25,F03,F30,F21,F17,F31,F26,F24,F29,F18
